video_id	title	channel_id	channel_name	published_at	duration	view_count	like_count	comment_count	thumbnail_url	download_status	source_url	path
VeChlmZ6DZo	Distribits 2024: Welcome and overview	UCB8-Zf7D0DSzAsREoIt0Bvw	DataLad	2024-04-09T00:00:00	1540	170	2	0	https://i.ytimg.com/vi_webp/VeChlmZ6DZo/maxresdefault.webp	metadata_only	https://www.youtube.com/watch?v=VeChlmZ6DZo	2024-04-09_Distribits-2024-Welcome-and-overview
pp8IeGXpRRI	Joey Hess: "git annex is complete, right?"	UCB8-Zf7D0DSzAsREoIt0Bvw	DataLad	2024-04-09T00:00:00	1283	1751	39	1	https://i.ytimg.com/vi/pp8IeGXpRRI/maxresdefault.jpg	metadata_only	https://www.youtube.com/watch?v=pp8IeGXpRRI	2024-04-09_Joey-Hess-git-annex-is-complete-right
SQyfYzZbD2M	Michael Hanke: DataLad beyond Git, connecting to the rest of the world	UCB8-Zf7D0DSzAsREoIt0Bvw	DataLad	2024-04-09T00:00:00	1405	460	4	0	https://i.ytimg.com/vi/SQyfYzZbD2M/maxresdefault.jpg	metadata_only	https://www.youtube.com/watch?v=SQyfYzZbD2M	2024-04-09_Michael-Hanke-DataLad-beyond-Git-connecting-to-the-rest-of-the-world
